DateTime,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
15:00.0,1.29249,1.2926,1.29249,1.29258,1.29285,1.29288,1.29281,1.29288
16:00.0,1.29258,1.29258,1.29255,1.29255,1.29288,1.29291,1.29288,1.29291
19:00.0,1.29255,1.29257,1.29255,1.29255,1.29291,1.29291,1.29285,1.29285
21:00.0,1.29255,1.29291,1.29255,1.29287,1.29285,1.29301,1.29285,1.29301
22:00.0,1.29287,1.29319,1.29287,1.29295,1.29301,1.29338,1.29301,1.29312
23:00.0,1.29295,1.29295,1.29282,1.29282,1.29312,1.29312,1.29297,1.29297
24:00.0,1.29282,1.29283,1.29282,1.29282,1.29297,1.293,1.29297,1.293
25:00.0,1.29282,1.29299,1.29282,1.29294,1.293,1.29308,1.29297,1.29307
26:00.0,1.29294,1.29306,1.29273,1.29281,1.29307,1.29325,1.29295,1.29311
27:00.0,1.29281,1.29333,1.29281,1.29333,1.29311,1.29356,1.29311,1.29348
28:00.0,1.29333,1.29333,1.29298,1.29321,1.29348,1.29366,1.29348,1.29351
29:00.0,1.29321,1.29347,1.29321,1.29338,1.29351,1.29377,1.29351,1.29353
30:00.0,1.29338,1.29339,1.29335,1.29336,1.29353,1.29354,1.29345,1.29345
31:00.0,1.29336,1.29337,1.29333,1.29337,1.29345,1.29347,1.29345,1.29347
32:00.0,1.29337,1.29337,1.2932,1.2932,1.29347,1.29347,1.29336,1.29336
33:00.0,1.2932,1.2932,1.29284,1.29294,1.29336,1.29336,1.29314,1.29324
34:00.0,1.29294,1.29303,1.29281,1.29303,1.29324,1.29333,1.29311,1.29333
35:00.0,1.29303,1.29304,1.29298,1.293,1.29333,1.2934,1.29333,1.2934
36:00.0,1.293,1.293,1.29298,1.293,1.2934,1.2934,1.2934,1.2934
37:00.0,1.293,1.293,1.29298,1.293,1.2934,1.2934,1.2934,1.2934
38:00.0,1.293,1.29303,1.29298,1.29303,1.2934,1.2934,1.2933,1.2933
39:00.0,1.29303,1.29305,1.293,1.293,1.2933,1.29332,1.2933,1.2933
40:00.0,1.293,1.29307,1.29296,1.29298,1.2933,1.29343,1.2933,1.29334
41:00.0,1.29298,1.29301,1.29298,1.29301,1.29334,1.29334,1.29331,1.29331
42:00.0,1.29301,1.29325,1.29297,1.29297,1.29331,1.29339,1.29321,1.29321
43:00.0,1.29297,1.29308,1.29297,1.29301,1.29321,1.29329,1.29313,1.29315
44:00.0,1.29301,1.29302,1.29301,1.29302,1.29315,1.29316,1.29315,1.29316
45:00.0,1.29302,1.29303,1.29301,1.29301,1.29316,1.29317,1.29315,1.29315
46:00.0,1.29301,1.29301,1.293,1.29301,1.29315,1.29315,1.29314,1.29314
47:00.0,1.29301,1.29301,1.29289,1.29293,1.29314,1.29325,1.29314,1.2932
48:00.0,1.29293,1.293,1.29292,1.29299,1.2932,1.2932,1.29313,1.29313
49:00.0,1.29299,1.29299,1.29285,1.29291,1.29313,1.2932,1.29313,1.29313
50:00.0,1.29291,1.29301,1.29291,1.29301,1.29313,1.29314,1.29313,1.29314
51:00.0,1.29301,1.29301,1.29293,1.29293,1.29314,1.29325,1.29314,1.29323
55:00.0,1.29293,1.29301,1.29293,1.29298,1.29323,1.29325,1.29313,1.29313
56:00.0,1.29298,1.29298,1.29293,1.29293,1.29313,1.29325,1.29313,1.29325
58:00.0,1.29293,1.29298,1.29283,1.29297,1.29325,1.29325,1.29304,1.29312
59:00.0,1.29297,1.29298,1.29286,1.29297,1.29312,1.29316,1.29312,1.29312
00:00.0,1.29297,1.29299,1.2929,1.29297,1.29312,1.29316,1.29308,1.29312
01:00.0,1.29297,1.29298,1.29284,1.29287,1.29312,1.29313,1.29299,1.29302
